Unnamed: 0,Ten_xe,Nam_san_xuat,Quang_duong_da_di(km),Loai_nhien_lieu,Hop_so,Quyen_so_huu,Muc_tieu_hao(km/l),Dung_tich(cc),Cong_suat_toi_da,So_cho_ngoi,Gia_moi_lakh,Gia_theo_lakh,Tuoi_xe,Hang_xe,Km_moi_nam,Chay_nhieu,log_Quang_duong_da_di(km),Top_xe
2859.0,Renault KWID Climber 1.0 MT,2018.0,4126.0,0.0,0.0,1.0,21.7,999.0,67.0,5.0,5.3,4.8,8.0,Renault,515.75,0.0,8.325306029752582,Other
4128.0,Volkswagen Polo GT TSI,2014.0,20364.0,0.0,1.0,2.0,17.21,1197.0,103.6,5.0,,5.2,12.0,Volkswagen,1697.0,0.0,9.921573020082512,Other
1178.0,Volvo XC60 D5 Inscription,2014.0,86925.0,1.0,1.0,1.0,11.2,2400.0,215.0,5.0,,17.18,12.0,Other,7243.75,1.0,11.372812460980152,Other
3382.0,Mercedes-Benz R-Class R350 CDI 4MATIC,2010.0,46000.0,1.0,1.0,1.0,11.8,2987.0,226.89999999999998,7.0,,20.049999999999997,16.0,Mercedes-Benz,2875.0,0.0,10.736418414365376,Other
4555.0,Mercedes-Benz New C-Class C 220 CDI BE Avantgare,2013.0,25000.0,1.0,1.0,2.0,14.84,2143.0,167.62,5.0,,20.049999999999997,13.0,Mercedes-Benz,1923.076923076923,0.0,10.12667110305036,Other
949.0,Hyundai Verna CRDi SX,2013.0,82966.0,1.0,0.0,1.0,16.8,1493.0,110.0,5.0,,7.2,13.0,Hyundai,6382.0,1.0,11.326198217357286,Other
5084.0,Hyundai Verna 1.6 SX,2015.0,60519.0,1.0,0.0,1.0,22.32,1582.0,126.32,5.0,,6.24,11.0,Hyundai,5501.727272727273,1.0,11.010729167902293,Other
4281.0,Renault KWID RXT,2017.0,4700.0,0.0,0.0,1.0,25.17,799.0,53.3,5.0,,3.0,9.0,Renault,522.2222222222222,0.0,8.45553053102413,Other
12.0,Maruti Swift VDI BSIV,2015.0,64424.0,1.0,0.0,1.0,25.2,1248.0,74.0,5.0,,5.6,11.0,Maruti,5856.727272727273,1.0,11.073257035520566,Maruti Swift VDI BSIV
1122.0,Honda City i VTEC CVT VX,2016.0,58197.0,0.0,1.0,1.0,18.0,1497.0,117.3,5.0,,9.19,10.0,Honda,5819.7,1.0,10.971606268867896,Other
4692.0,Honda City i-VTEC S,2015.0,10400.0,0.0,0.0,1.0,17.4,1497.0,117.3,5.0,,6.51,11.0,Honda,945.4545454545455,0.0,9.249657234353133,Other
