epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,152.307,1.71283,3.17733,1.76114,0.68347,0.36946,0.37705,0.24072,1.69102,2.75797,1.85752,0.000332292,0.000332292,0.000332292
2,295.945,1.76836,2.54715,1.79574,0.41795,0.39404,0.35575,0.20786,1.8519,3.19207,1.99445,0.000659035,0.000659035,0.000659035
3,438.399,1.81996,2.58043,1.83537,0.56566,0.42105,0.41009,0.26209,1.77219,2.4671,1.8337,0.000979179,0.000979179,0.000979179
4,583.355,1.74689,2.4875,1.80095,0.44653,0.43221,0.42415,0.2715,1.72398,2.2998,1.84317,0.0009703,0.0009703,0.0009703
5,725.909,1.72303,2.41324,1.77365,0.40519,0.48244,0.45192,0.31381,1.61128,2.26567,1.78905,0.0009604,0.0009604,0.0009604
6,868.439,1.66957,2.31981,1.72281,0.69756,0.46903,0.51721,0.36684,1.54533,2.01255,1.68324,0.0009505,0.0009505,0.0009505
7,1011.01,1.64819,2.26144,1.69954,0.45518,0.50406,0.48858,0.33483,1.55532,2.15236,1.65216,0.0009406,0.0009406,0.0009406
8,1151.12,1.59858,2.16288,1.67736,0.56659,0.55072,0.54963,0.40008,1.4377,1.86598,1.6019,0.0009307,0.0009307,0.0009307
9,1295.77,1.59718,2.12944,1.66331,0.52396,0.54281,0.52527,0.36951,1.46319,1.93137,1.62457,0.0009208,0.0009208,0.0009208
10,1438.95,1.55798,2.07654,1.64202,0.50174,0.55615,0.54137,0.39329,1.44929,1.87302,1.61045,0.0009109,0.0009109,0.0009109
11,1579.38,1.54768,2.04238,1.62714,0.55177,0.5568,0.56402,0.40596,1.43102,1.86056,1.60775,0.000901,0.000901,0.000901
12,1722.13,1.52715,2.00907,1.62057,0.61722,0.56455,0.58818,0.42094,1.40345,1.72438,1.54969,0.0008911,0.0008911,0.0008911
13,1867.5,1.52332,1.98501,1.61298,0.5552,0.57994,0.5916,0.4307,1.39902,1.68943,1.55716,0.0008812,0.0008812,0.0008812
14,2009.66,1.49717,1.93174,1.58909,0.58741,0.57841,0.60108,0.44328,1.35713,1.6621,1.53064,0.0008713,0.0008713,0.0008713
15,2151.71,1.49329,1.93496,1.58285,0.64181,0.60274,0.62414,0.46948,1.35843,1.62153,1.5138,0.0008614,0.0008614,0.0008614
16,2294.29,1.4833,1.89082,1.57085,0.57216,0.61073,0.60953,0.44861,1.37457,1.67815,1.54526,0.0008515,0.0008515,0.0008515
